Date,Comment
2026-03-21T18:53:55Z,a jawab b
2026-03-21T18:52:35Z,dari pertanyaan retno aja jawabannya udah gak nyambung wkwkwkwkwk
2026-03-21T18:52:20Z,jawabannya panjang lebar tp kurang nyambung ngdabrus doank
2026-03-21T18:48:57Z,buktinya mana wowo
2026-03-21T18:45:32Z,omon omon
2026-03-21T18:45:08Z,kita tunggu
2026-03-21T18:45:05Z,apakah anda tahu pnm membantu masyarakat atau membudidayakan piutang tolong sidak sistemnya
2026-03-21T18:43:27Z,pak presiden smoga tetap sehat dan walaufuat
2026-03-21T18:42:59Z,yang keren expert dan kritis disini menurut saya itu adalah mba nana pak chatib amp bu retno next moderator ganti dah gak kompeten banget di nasbi el sudah dimasak saja disini udahlah suara nimpalinnya ganggu banget grogi juga
2026-03-21T18:42:28Z,kita baca komenan anak abah
2026-03-21T18:41:05Z,mengkritik tanpa data sebenarnya tidak baik mengkritik harus berdasarkan dengan fakta yang terjadi di lapangan agar pengobatannya bisa tepat dan berguna
2026-03-21T18:34:05Z,lain nan ditanyo lain nan dijawek
2026-03-21T18:33:05Z,semoga sehat selalu dan d permudah urusan bpk presiden
2026-03-21T18:23:46Z,kalau jokowi di beri pertanyaan kek gini kira dia bisa jawab nggak ya
2026-03-21T18:20:29Z,janji parpol jilid
2026-03-21T18:20:22Z,mau ganti saya tunggu dong
2026-03-21T18:17:15Z,lantai kamar mandi pls do your magic
2026-03-21T18:12:57Z,bah nana ini kayanya anti pemerinta saat ini yh
2026-03-21T18:08:00Z,presiden kita prabowo subioanto orang yg cerdas berpendidikan kutu buku cerdas dan patriotik orangnya tulus tapi lemah di kelilingi penjilat dan ada musuh dalam selimut sehat selalu pak presiden tetap silaturahim tapi jgn terlalu dekat dgn pak jokowi ya pak
2026-03-21T18:03:37Z,prabowo malah stand up comedy anjir
2026-03-21T18:02:51Z,bubarkan segala macam bentuk relawan pak cukup kita dg partai politik saja sudah begitu rumit kalau segala bentuk relawan makin merajalela lela ini akan memicu keributan antar rakyat karena berdebat atas dasar saling mendukung tidak sehat
2026-03-21T18:01:33Z,mbak nana percuma bedikusi dengan orang yg buta dan tuli hati dan pikiran rakyat indonesia sudah muak dengan keadaan negara seperti ini titik kemuakan rakyat adalah tidak perduli lagi dengan siapa pemimpinnya seperti apa yg terjadi sekarang ini
2026-03-21T17:52:30Z,please lantai toilet do your magic
2026-03-21T17:51:22Z,pak probowo berbobot pengetahuannya
2026-03-21T17:50:41Z,lagi ngehayaal pak warga bapa masih banyak yg kelaparan
2026-03-21T17:50:25Z,ditanya apa jawabnya kemana si pak
2026-03-21T17:49:49Z,yg keluar dari mulut nya terdengar indah merdu dan menenangkan tapi realitanya menyakitkan
2026-03-21T17:47:00Z,sangat keren dan sangat membantu acara seperti ini memberikan informasi yang jelas dari gagasan pemimpin serta bisa di kritik langsung terimakasih mata nazwa terimakasih bapak presiden prabowo
2026-03-21T17:46:26Z,toyota disebut
2026-03-21T17:44:49Z,bahas mbg di menit berapa ya
2026-03-21T17:44:12Z,kapan ya prabowo mundur
2026-03-21T17:36:49Z,tidak memuaskan
2026-03-21T17:34:50Z,bukan diskusi ini mah mendengarkan cerama
2026-03-21T17:30:53Z,sumber pangan tetek bengek beli pupuk aja dibatas mahal sering gak ada coba donk sentuh sampai lapisan terbawah hadeuuh ekonomi makin ancur
2026-03-21T17:26:48Z,cuma bingung kenapa kapolri ga ganti apa nunggu pensiun apa gimana
2026-03-21T17:24:21Z,paling bagus yah pasti mbak najwa
2026-03-21T17:23:45Z,tiap jawab kok muter amp halu dan semua iya aja kecuali najwaz
2026-03-21T17:21:41Z,omon
2026-03-21T17:20:56Z,ditunggu pak wapres menjawab semoga bisa di buatkan acaranya
2026-03-21T17:16:45Z,gw yakin nyesel gak sih milih dia jadi presiden
2026-03-21T17:15:01Z,gibran mana
2026-03-21T17:11:40Z,kurang bung rocky pasti seruu
2026-03-21T17:09:17Z,semoga ini jadi bare minimum tradition untuk presiden indonesia
2026-03-21T17:09:13Z,orang quot yg bilang omong kosong dll kalian engga nangkep yang di omongin atau emng buzzer aja v
2026-03-21T17:06:01Z,terpojokkan dgn pertanyaan kritis dari mba nana kemudian moderator penjilat memotong kritis itu takut yaa kalau nanti prabowo salah jwb karena udh kepancing dgn pertanyaan kritis
2026-03-21T17:04:20Z,diundang untuk diskusi no diundang untuk dengerin ceramah presiden yes
2026-03-21T17:03:39Z,cucu ubed emang beda
2026-03-21T17:02:21Z,mba nana
2026-03-21T17:02:17Z,bawel banget moderator uda diem aja kalo ada yg ngomong
2026-03-21T17:03:07Z,tugas dia kan menjilat penguasa
2026-03-21T17:01:47Z,mna masih lama gnti presiden haduh
2026-03-21T17:01:21Z,wowo mendongeng bukan menjawab
2026-03-21T17:01:20Z,main bersih lah belajar yakin negara pasti membantu kesulitan kalian
2026-03-21T16:58:54Z,pelanggar ham too
2026-03-21T16:58:11Z,mereka pikir negara gak bisa galak barangkali pak justru negara banyak mendengarken untk menyiapken kekuatan yg lebih buas lagi negara diam bukan berarti kalah menyerah
2026-03-21T16:57:56Z,kita tunggu pembuktian pak presiden wowo
2026-03-21T16:57:54Z,seharusnya tanya jawab seperti ini dengan para mahasiswa saja karena tidak ada kepentingan disitu
2026-03-21T16:57:14Z,ganti presiden arogan
2026-03-21T16:56:02Z,moderatornya ketar ketir tidak netral
2026-03-21T16:55:29Z,mbak najwa sedang cosplay menjadi buzzer wkwkwkwk
2026-03-21T16:52:47Z,saya hanya melihat orang tua yg memuji diri sendiri tidak ada pemikiran negarawan belum layak untuk jadi pemimpin saya semakin khawatir bangsa ini akan benar gagal
2026-03-21T16:51:31Z,mba nana rakyat sekarang cari emas susah di jual juga susah ada apa dengan pemerintah di negeri ini para pembeli emas di tangkap
2026-03-21T16:50:52Z,dulu ikut pilih dan kampanyekan prabowo tp skrg setelah jd kok ragu ya serasa ada jarak kurang dkt sm rakyat byk omon pidato dan emosian kl berhadapan timbul rs takut hrsnya kan senang gembira
2026-03-21T16:47:17Z,ya jangan mahal aja sekolahnya
2026-03-21T16:46:02Z,mudah n palestina akan cepat merdeka sepenuhnya
2026-03-21T16:46:00Z,contoh sppg di desa saya dikabupaten wonosobo jawa tengah sudah kali kejadian ada belatungnya dimakanan tapi nggak ditutup dan tetap jalan prabowo omon omon
2026-03-21T16:45:47Z,sumpah wanita idaman para rakyat sehat selalu mbak nana sekeluarga semoga dalam lindungan allah amin
2026-03-21T16:45:41Z,hanya mba nana yg mengajukan pertanyaan yg kritis yg lainnya kaku gak mau kritisi secara tajam tentang isu yg terjadi
2026-03-21T16:45:09Z,ini sudah ini yang orang papua butuhkan dialog terbuka dengan presiden
2026-03-21T16:43:26Z,moderator ngangong
2026-03-21T16:42:17Z,pinterr omong
2026-03-21T16:42:15Z,hahaa bossman anda terlalu sopan tidak setajam konten konten anda
2026-03-21T16:41:24Z,kuat kuat banget dengerinnya
2026-03-21T16:41:00Z,panggung sandiwara
2026-03-21T16:40:48Z,terkait mbg bnyak yang nggak berani mengkritik langsung krn banyak ancaman sudahlah prabawo cuma omon senengnya duduk dibelakang meja saya kali pilih prabowo tapi pilpres depan saya sudah nggak mau pilih prabowo
2026-03-21T16:40:38Z,mau nonton tp males sama moderator nya
2026-03-21T16:38:50Z,menit iri dengan korea bikin mobil eh sekarang malah import mobil dari india
2026-03-21T16:37:48Z,saya saya saya saya saya and me but we dont care
2026-03-21T16:36:14Z,kami suka prabowo tapi gak suka sama orang di sekitarnya yang kbanyakan plonga plongo kemudian tidak ada transparansi dalam menyampaikan program berjalan
2026-03-21T16:33:10Z,moderator ngatur peserta moderator diatur peserta
2026-03-21T16:32:22Z,keputusan yg mantab jika dapur bocor maka bermasalah trus ngapain dipertahanken jika bikin repot lagi
2026-03-21T16:32:21Z,terimakasih kak
2026-03-21T16:31:15Z,pakai lembaga survei netral spt saat pemilu biar tahu lebih banyak mana rakyat yg setuju mbg atau yg tidak setuju
2026-03-21T16:30:45Z,pak thn terlalu lama untuk mempertahankan orng toxic dipemerintahan masih ada waktu untuk mencari talent yg oke ga becus pecat sat sest
2026-03-21T16:30:03Z,kemon mon omon siap my presiden
2026-03-21T16:28:44Z,mbg libur memasak giliran mbak nana yg memasak
2026-03-21T16:28:43Z,coba buat forum diskusi seperti ini tapi gantian wapres kita gibran yg jadi narasumbernya kita lihat kemampuannya
